seqnames	start	end	width	strand	Median
1	1000001	2000000	1000000	*	NA
1	2000001	3000000	1000000	*	NA
1	4000001	5000000	1000000	*	0.0755764278664081
1	5000001	6000000	1000000	*	0.104336623240555
1	6000001	7000000	1000000	*	0.0814734867779002
1	7000001	8000000	1000000	*	-0.0629228383660824
1	8000001	9000000	1000000	*	-0.144331302559626
1	9000001	10000000	1000000	*	-0.00346419261520052
1	10000001	11000000	1000000	*	-0.114055484514327
1	11000001	12000000	1000000	*	0.0328386434501377
1	12000001	13000000	1000000	*	-0.0122515346561926
1	14000001	15000000	1000000	*	0.0380531821514716
1	15000001	16000000	1000000	*	0.0947487325666186
1	16000001	17000000	1000000	*	0.123830197233776
1	18000001	19000000	1000000	*	0.0859244401457018
1	19000001	20000000	1000000	*	0.0996790780133293
1	20000001	21000000	1000000	*	-0.000681704638778981
1	21000001	22000000	1000000	*	-0.0969674034328178
1	22000001	23000000	1000000	*	0.0137760539117223
1	23000001	24000000	1000000	*	-0.0332893782129313
1	24000001	25000000	1000000	*	-0.0741173570842999
1	25000001	26000000	1000000	*	0.0759605992412194
1	26000001	27000000	1000000	*	-0.151208715907615
1	27000001	28000000	1000000	*	-0.0420600072398505
1	28000001	29000000	1000000	*	-0.173282236931174
1	30000001	31000000	1000000	*	NA
1	31000001	32000000	1000000	*	-0.0242163442840336
1	32000001	33000000	1000000	*	-0.160095960505427
1	33000001	34000000	1000000	*	-0.0443753160143523
1	34000001	35000000	1000000	*	0.0202351182390728
1	35000001	36000000	1000000	*	-0.0885545625817407
1	36000001	37000000	1000000	*	-0.0448268602913554
1	37000001	38000000	1000000	*	0.0699951337663915
1	38000001	39000000	1000000	*	0.0712066157576827
1	39000001	40000000	1000000	*	-0.013711062784219
1	40000001	41000000	1000000	*	-0.0370691765141361
1	41000001	42000000	1000000	*	0.00808657199063354
1	42000001	43000000	1000000	*	-0.0337100574154362
1	43000001	44000000	1000000	*	0.0220382542773786
1	44000001	45000000	1000000	*	-0.0624871735124668
1	45000001	46000000	1000000	*	-0.150906773562431
1	46000001	47000000	1000000	*	-0.169893621131638
1	47000001	48000000	1000000	*	0.01247546996727
1	48000001	49000000	1000000	*	-0.0771937994458465
1	49000001	50000000	1000000	*	0.03998073979543
1	50000001	51000000	1000000	*	-0.0146011867273586
1	51000001	52000000	1000000	*	-0.0970722020776151
1	52000001	53000000	1000000	*	-0.0773410316551436
1	53000001	54000000	1000000	*	-0.011835454039339
1	54000001	55000000	1000000	*	-0.00117162905576999
1	55000001	56000000	1000000	*	0.053792740392157
1	56000001	57000000	1000000	*	0.110943239038957
1	57000001	58000000	1000000	*	0.0704441123513827
1	58000001	59000000	1000000	*	0.130239958523656
1	59000001	60000000	1000000	*	0.0238341486225598
1	60000001	61000000	1000000	*	0.0211252864624754
1	61000001	62000000	1000000	*	0.017790796055669
1	62000001	63000000	1000000	*	-0.110925789506484
1	63000001	64000000	1000000	*	-0.0390961782477999
1	64000001	65000000	1000000	*	0.0748358603422449
1	65000001	66000000	1000000	*	0.00946979099396665
1	66000001	67000000	1000000	*	-0.0150096651308717
1	67000001	68000000	1000000	*	-0.0352602818343168
1	68000001	69000000	1000000	*	0.0222186712350517
1	69000001	70000000	1000000	*	-0.00642391815955552
1	70000001	71000000	1000000	*	0.026589002984912
1	71000001	72000000	1000000	*	0.0214329508880973
1	72000001	73000000	1000000	*	-0.00781851284955117
1	73000001	74000000	1000000	*	0.109502207319811
1	74000001	75000000	1000000	*	0.0317803272472331
1	75000001	76000000	1000000	*	-0.0163128246404693
1	76000001	77000000	1000000	*	-0.00685300557202299
1	77000001	78000000	1000000	*	0.0505415974668665
1	78000001	79000000	1000000	*	0.00500832011163031
1	79000001	80000000	1000000	*	0.0341098136177208
1	80000001	81000000	1000000	*	-0.0194725785531709
1	81000001	82000000	1000000	*	-0.0104539894392616
1	82000001	83000000	1000000	*	0.0413923768266741
1	84000001	85000000	1000000	*	0.0577496104157357
1	85000001	86000000	1000000	*	0.0735437724220413
1	86000001	87000000	1000000	*	-0.024928360686482
1	87000001	88000000	1000000	*	-0.0639988053330305
1	88000001	89000000	1000000	*	0.0420509035797047
1	89000001	90000000	1000000	*	-0.0168856724804166
1	90000001	91000000	1000000	*	-0.0689618351510839
1	91000001	92000000	1000000	*	0.181264940414898
1	92000001	93000000	1000000	*	6.68961449235661e-05
1	93000001	94000000	1000000	*	-0.118167748204291
1	94000001	95000000	1000000	*	0.00459278993877872
1	95000001	96000000	1000000	*	0.00382483984596007
1	96000001	97000000	1000000	*	0.0123815370861624
1	97000001	98000000	1000000	*	-0.109296230418056
1	98000001	99000000	1000000	*	-0.0153620843775745
1	99000001	100000000	1000000	*	0.0255761473253346
1	100000001	101000000	1000000	*	0.0224780456413999
1	101000001	102000000	1000000	*	0.0661360298902935
1	102000001	103000000	1000000	*	0.0155491177419246
1	105000001	106000000	1000000	*	-0.0640808286926918
1	106000001	107000000	1000000	*	0.0304678268487658
1	107000001	108000000	1000000	*	0.0245979309936907
1	109000001	110000000	1000000	*	-0.0945246359182548
1	110000001	111000000	1000000	*	-0.0405357224287842
1	111000001	112000000	1000000	*	0.0618095951690273
1	112000001	113000000	1000000	*	0.0142750811566311
1	113000001	114000000	1000000	*	-0.0312109519068443
1	114000001	115000000	1000000	*	-0.0135396084371418
1	115000001	116000000	1000000	*	-0.0072344802830512
1	116000001	117000000	1000000	*	0.0250897395981043
1	117000001	118000000	1000000	*	0.09612692916967
1	118000001	119000000	1000000	*	0.0583980086883844
1	119000001	120000000	1000000	*	0.0721182263221679
1	150000001	151000000	1000000	*	-0.102611080852427
1	151000001	152000000	1000000	*	-0.0681730991010001
1	152000001	153000000	1000000	*	0.0426145602444141
1	153000001	154000000	1000000	*	-0.0495495876620739
1	154000001	155000000	1000000	*	-0.0150606303518701
1	155000001	156000000	1000000	*	-0.198370423024537
1	156000001	157000000	1000000	*	0.0102407701056588
1	157000001	158000000	1000000	*	-0.0345743426827242
1	158000001	159000000	1000000	*	-0.012252885407214
1	159000001	160000000	1000000	*	0.0760479375732225
1	160000001	161000000	1000000	*	-0.0114381480961472
1	162000001	163000000	1000000	*	0.0327293369235545
1	163000001	164000000	1000000	*	0.0695288979239723
1	164000001	165000000	1000000	*	-0.00574744477923482
1	165000001	166000000	1000000	*	-0.0309436245467416
1	166000001	167000000	1000000	*	-0.0688172238500121
1	167000001	168000000	1000000	*	-0.0711500092565315
1	168000001	169000000	1000000	*	-0.0175301574109782
1	169000001	170000000	1000000	*	-0.0111467673258674
1	170000001	171000000	1000000	*	-0.0087997494260185
1	171000001	172000000	1000000	*	0.00263828335992753
1	172000001	173000000	1000000	*	0.0930753576977735
1	173000001	174000000	1000000	*	-0.0537913847210342
1	174000001	175000000	1000000	*	-0.0356544677075863
1	175000001	176000000	1000000	*	0.0227464622289836
1	176000001	177000000	1000000	*	-0.0126636617456056
1	177000001	178000000	1000000	*	0.00417902658840115
1	178000001	179000000	1000000	*	0.0179940923700832
1	179000001	180000000	1000000	*	-0.0773619557466285
1	180000001	181000000	1000000	*	-0.0845438181027899
1	181000001	182000000	1000000	*	0.0963365179940763
1	182000001	183000000	1000000	*	0.0237538266560583
1	183000001	184000000	1000000	*	0.0267191335518522
1	184000001	185000000	1000000	*	0.0155393373491972
1	185000001	186000000	1000000	*	0.0562152154961583
1	186000001	187000000	1000000	*	-0.0795026555924126
1	187000001	188000000	1000000	*	0.0551081164514823
1	188000001	189000000	1000000	*	-0.0096365249795958
1	189000001	190000000	1000000	*	NA
1	190000001	191000000	1000000	*	NA
1	191000001	192000000	1000000	*	0.0378631308728261
1	192000001	193000000	1000000	*	-0.0169270155108875
1	193000001	194000000	1000000	*	-0.0364798304193263
1	194000001	195000000	1000000	*	-0.0168740554832551
1	195000001	196000000	1000000	*	0.0489009352291006
1	196000001	197000000	1000000	*	-0.0260204492800536
1	197000001	198000000	1000000	*	-0.0236718303752865
1	198000001	199000000	1000000	*	0.0222637946782847
1	199000001	200000000	1000000	*	0.0129607335130311
1	200000001	201000000	1000000	*	-0.145011016346629
1	201000001	202000000	1000000	*	0.0413777404478218
1	202000001	203000000	1000000	*	-0.0493624270462961
1	203000001	204000000	1000000	*	-0.00887507524247282
1	204000001	205000000	1000000	*	0.0522729984813652
1	205000001	206000000	1000000	*	NA
1	207000001	208000000	1000000	*	-0.0437639690512777
1	208000001	209000000	1000000	*	0.189106283759826
1	209000001	210000000	1000000	*	0.0311736311477539
1	210000001	211000000	1000000	*	0.0296443544813325
1	211000001	212000000	1000000	*	-0.0493927725387449
1	212000001	213000000	1000000	*	-0.123323124824901
1	213000001	214000000	1000000	*	-0.00423346710331107
1	214000001	215000000	1000000	*	-0.00307609246824764
1	215000001	216000000	1000000	*	-0.00621510256283773
1	216000001	217000000	1000000	*	0.0279478650976678
1	217000001	218000000	1000000	*	-0.0483679829445832
1	218000001	219000000	1000000	*	0.0142218180639147
1	219000001	220000000	1000000	*	-0.0296803598806729
1	220000001	221000000	1000000	*	-0.0275780090386715
1	221000001	222000000	1000000	*	0.0142596005009525
1	222000001	223000000	1000000	*	0.0217208662006105
1	225000001	226000000	1000000	*	-0.0198080117733964
1	226000001	227000000	1000000	*	-0.00857625519613349
1	227000001	228000000	1000000	*	-0.0052811159567283
1	228000001	229000000	1000000	*	0.0996438472882964
1	229000001	230000000	1000000	*	0.000691187810634462
1	230000001	231000000	1000000	*	-0.0217699154923123
1	231000001	232000000	1000000	*	-0.0428429342495906
1	232000001	233000000	1000000	*	0.0430410193083312
1	233000001	234000000	1000000	*	0.0189052203394547
1	234000001	235000000	1000000	*	0.0333467474197929
1	235000001	236000000	1000000	*	NA
1	236000001	237000000	1000000	*	-0.147386244346415
1	237000001	238000000	1000000	*	-0.0188037459154347
1	238000001	239000000	1000000	*	-0.00163030449129741
1	239000001	240000000	1000000	*	-0.088632638452871
1	240000001	241000000	1000000	*	-0.035317547194494
1	241000001	242000000	1000000	*	-0.0625240824155147
1	242000001	243000000	1000000	*	-0.0697301728633645
1	244000001	245000000	1000000	*	-0.0484234309052902
1	245000001	246000000	1000000	*	-0.0454710287602386
1	246000001	247000000	1000000	*	-0.015764687475274
1	247000001	248000000	1000000	*	-0.0848242344586927
2	1	1000000	1000000	*	NA
2	1000001	2000000	1000000	*	-0.0147345000474768
2	2000001	3000000	1000000	*	0.0852133058804378
2	3000001	4000000	1000000	*	NA
2	4000001	5000000	1000000	*	0.0149589319355944
2	6000001	7000000	1000000	*	0.0339476795973391
2	7000001	8000000	1000000	*	0.013583801245997
2	8000001	9000000	1000000	*	0.116052438345661
2	9000001	10000000	1000000	*	0.0754789186784014
2	10000001	11000000	1000000	*	-0.00956371606596066
2	11000001	12000000	1000000	*	-0.041512443191544
2	12000001	13000000	1000000	*	0.084420531184519
2	13000001	14000000	1000000	*	0.0627163391345538
2	14000001	15000000	1000000	*	0.0246495602477725
2	15000001	16000000	1000000	*	0.0872852331824625
2	16000001	17000000	1000000	*	NA
2	17000001	18000000	1000000	*	0.00216977689115639
2	18000001	19000000	1000000	*	0.0938339512450883
2	19000001	20000000	1000000	*	0.0487282895524971
2	20000001	21000000	1000000	*	-0.00473843777428636
2	21000001	22000000	1000000	*	NA
2	22000001	23000000	1000000	*	0.0750997149670087
2	23000001	24000000	1000000	*	0.144942468483678
2	24000001	25000000	1000000	*	-0.153620726658174
2	25000001	26000000	1000000	*	-0.0150310704060499
2	26000001	27000000	1000000	*	-0.106471505986034
2	27000001	28000000	1000000	*	-0.0471737272627981
2	28000001	29000000	1000000	*	-0.042324730709826
2	29000001	30000000	1000000	*	0.060722157066892
2	30000001	31000000	1000000	*	-0.0797565946949644
2	31000001	32000000	1000000	*	NA
2	32000001	33000000	1000000	*	-0.165387613043167
2	33000001	34000000	1000000	*	NA
2	34000001	35000000	1000000	*	-0.0538867916560203
2	35000001	36000000	1000000	*	0.0198186520224411
2	36000001	37000000	1000000	*	0.0570106040180658
2	37000001	38000000	1000000	*	-0.00714783965347615
2	38000001	39000000	1000000	*	0.0586111865965127
2	39000001	40000000	1000000	*	-0.020944291161253
2	40000001	41000000	1000000	*	-0.00412596564777412
2	41000001	42000000	1000000	*	-0.00815717800499232
2	42000001	43000000	1000000	*	0.0342296973877285
2	43000001	44000000	1000000	*	-0.0637548916098909
2	44000001	45000000	1000000	*	-0.126646201464174
2	45000001	46000000	1000000	*	0.0191286857016617
2	46000001	47000000	1000000	*	0.0105805288479555
2	47000001	48000000	1000000	*	0.095927058573816
2	48000001	49000000	1000000	*	-0.0658146155632184
2	49000001	50000000	1000000	*	0.0977899444170792
2	50000001	51000000	1000000	*	0.0528760273495349
2	51000001	52000000	1000000	*	-0.040965815773871
2	52000001	53000000	1000000	*	0.0372288329001427
2	53000001	54000000	1000000	*	0.02038243067211
2	54000001	55000000	1000000	*	-0.00283364521125672
2	55000001	56000000	1000000	*	-0.0590910075891866
2	56000001	57000000	1000000	*	0.0429539734745388
2	57000001	58000000	1000000	*	0.0493264672340285
2	58000001	59000000	1000000	*	0.0105314851186198
2	59000001	60000000	1000000	*	0.00118918823796077
2	60000001	61000000	1000000	*	0.0286517359981628
2	61000001	62000000	1000000	*	-0.117952214145543
2	62000001	63000000	1000000	*	-0.0826853558888856
2	63000001	64000000	1000000	*	-0.0287504706857996
2	64000001	65000000	1000000	*	0.0350041634955845
2	65000001	66000000	1000000	*	-0.000444833333012559
2	66000001	67000000	1000000	*	0.0386302756576901
2	67000001	68000000	1000000	*	0.0846885587817058
2	68000001	69000000	1000000	*	-0.0359342342019078
2	69000001	70000000	1000000	*	0.0266502643902863
2	70000001	71000000	1000000	*	0.00573843997062192
2	71000001	72000000	1000000	*	-0.045158488449426
2	72000001	73000000	1000000	*	-0.0638124383552271
2	73000001	74000000	1000000	*	-0.0134416209904405
2	74000001	75000000	1000000	*	-0.0298942086831244
2	75000001	76000000	1000000	*	0.0743175493708068
2	76000001	77000000	1000000	*	0.0629716042501503
2	77000001	78000000	1000000	*	0.0173404351279559
2	78000001	79000000	1000000	*	0.00642111523453404
2	79000001	80000000	1000000	*	-0.0399824311183417
2	80000001	81000000	1000000	*	0.0275040521390205
2	81000001	82000000	1000000	*	-0.00311235441308183
2	82000001	83000000	1000000	*	0.0507255648724714
2	83000001	84000000	1000000	*	0.0451708209143206
2	84000001	85000000	1000000	*	0.0305731759595212
2	85000001	86000000	1000000	*	0.0624405196212234
2	86000001	87000000	1000000	*	-0.0547138288971834
2	99000001	100000000	1000000	*	0.0430688212243659
2	100000001	101000000	1000000	*	0.0442126112569784
2	101000001	102000000	1000000	*	-0.0434477477005509
2	102000001	103000000	1000000	*	-0.0854434308140525
2	103000001	104000000	1000000	*	-0.0151480422194225
2	104000001	105000000	1000000	*	0.0103379239605885
2	105000001	106000000	1000000	*	0.0772994473257705
2	106000001	107000000	1000000	*	0.111899399615027
2	107000001	108000000	1000000	*	0.116925768535181
2	108000001	109000000	1000000	*	0.0182529866439415
2	109000001	110000000	1000000	*	-0.0959817866736216
2	113000001	114000000	1000000	*	-0.079031150629891
2	115000001	116000000	1000000	*	0.0771131300986955
2	116000001	117000000	1000000	*	0.0357181925555187
2	117000001	118000000	1000000	*	0.121643742379225
2	118000001	119000000	1000000	*	0.0798559768197891
2	119000001	120000000	1000000	*	-0.0447399358058957
2	120000001	121000000	1000000	*	-0.0429544713132659
2	121000001	122000000	1000000	*	0.107445232831514
2	122000001	123000000	1000000	*	-0.0134453597878317
2	123000001	124000000	1000000	*	-0.000418168476354594
2	124000001	125000000	1000000	*	0.108057077554837
2	125000001	126000000	1000000	*	-0.0130392851803156
2	126000001	127000000	1000000	*	-0.0215667489519455
2	127000001	128000000	1000000	*	0.0105364390563655
